"","year","holiday","working_day","normalised_temp","humidity","wind_speed","Month_1","Month_2","Month_3","Month_4","Month_5","Month_6","Month_7","Month_8","Month_9","Month_10","Month_11","Month_12","season_1","season_2","season_3","season_4","week_day_6","week_day_0","week_day_1","week_day_2","week_day_3","week_day_4","week_day_5","Weather_2","Weather_1","Weather_3","count"
"1",1,1,1,0.344167,0.805833,0.160446,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,985
"7",1,1,2,0.196522,0.498696,0.168726,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1510
"21",1,1,2,0.1775,0.457083,0.353242,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1543
"28",1,1,2,0.203478,0.793043,0.1233,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1167
"33",1,1,2,0.26,0.775417,0.264308,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1526
"35",1,1,2,0.211304,0.585217,0.127839,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1708
"43",1,1,1,0.2225,0.544167,0.203367,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1472
"44",1,1,1,0.316522,0.457391,0.260883,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1589
"54",1,1,2,0.221739,0.423043,0.094113,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1917
"59",1,1,2,0.407273,0.876364,0.289686,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1446
"66",1,1,2,0.261739,0.551304,0.341352,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1872
"79",1,1,1,0.3325,0.47375,0.207721,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2471
"85",1,1,1,0.265833,0.394167,0.209571,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2496
"90",1,1,2,0.268333,0.918333,0.217646,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1685
"91",1,1,2,0.3,0.68625,0.258708,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2227
"100",1,1,1,0.426667,0.8575,0.146767,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2895
"102",1,1,2,0.5025,0.739167,0.274879,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2034
"103",1,1,2,0.4125,0.819167,0.250617,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2162
"105",1,2,1,0.446667,0.67125,0.226375,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,3126
"108",1,1,2,0.5125,0.5425,0.163567,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,3429
"111",1,1,2,0.459167,0.407083,0.325258,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,4189
"112",1,1,2,0.336667,0.729583,0.219521,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1683
"116",1,1,2,0.631667,0.729167,0.3265,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,4400
"119",1,1,2,0.51,0.457083,0.240063,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,4595
"125",1,1,2,0.459167,0.444167,0.295392,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,4433
"129",1,1,2,0.5325,0.58875,0.176,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4362
"135",1,1,1,0.5625,0.867083,0.152979,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,4553
"140",1,1,2,0.536667,0.719583,0.125013,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,4917
"141",1,1,1,0.6025,0.626667,0.12065,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,5805
"149",1,1,1,0.6675,0.81875,0.213938,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,4788
"152",1,1,2,0.764167,0.677083,0.207092,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3974
"153",1,1,2,0.715,0.305,0.292287,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,4968
"155",1,1,1,0.635,0.45625,0.123142,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,5342
"160",1,1,2,0.808333,0.568333,0.149883,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,3915
"170",1,1,1,0.699167,0.666667,0.102,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,4744
"175",1,1,2,0.724167,0.573333,0.222025,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,4991
"178",1,1,2,0.6825,0.658333,0.107588,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,4708
"182",1,1,2,0.7225,0.39625,0.102608,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,5362
"186",1,1,2,0.746667,0.590417,0.126258,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,4665
"193",1,1,2,0.794167,0.559167,0.200254,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,4258
"205",1,1,1,0.83,0.550833,0.169171,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,3606
"208",1,1,2,0.775,0.402917,0.183463,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,4656
"210",1,1,2,0.838333,0.5425,0.174138,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,3846
"232",1,1,1,0.6975,0.674167,0.104467,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,5191
"237",1,1,2,0.684167,0.771667,0.210833,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,3542
"242",1,1,2,0.639167,0.548333,0.125008,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,5204
"243",1,1,2,0.656667,0.597917,0.0833333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,5058
"245",1,1,2,0.643333,0.727083,0.139929,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,4727
"246",1,1,1,0.669167,0.716667,0.185325,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,4484
"252",1,1,2,0.65,0.897917,0.124379,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,3544
"254",1,1,1,0.653333,0.71375,0.115054,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,5046
"259",1,1,2,0.469167,0.590417,0.164183,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,4760
"261",1,1,1,0.5075,0.695,0.178483,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,4274
"269",1,1,2,0.649167,0.848333,0.1107,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,4630
"275",1,1,1,0.356667,0.791667,0.222013,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2918
"277",1,1,2,0.484167,0.71,0.205854,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,4456
"279",1,1,2,0.494167,0.620833,0.134954,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,4765
"286",1,1,2,0.589167,0.896667,0.141787,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2913
"291",1,1,2,0.5325,0.701667,0.110087,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,4748
"292",1,1,2,0.541739,0.895217,0.243339,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2424
"297",1,1,2,0.463333,0.772083,0.118792,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,4187
"303",1,1,1,0.319167,0.62375,0.176617,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,3331
"306",1,1,2,0.3775,0.71875,0.0820917,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,4186
"312",1,1,2,0.408333,0.721667,0.0690375,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,4205
"323",1,1,1,0.329167,0.502083,0.224496,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3663
"331",1,1,1,0.459167,0.698333,0.208954,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,3071
"334",1,1,2,0.325,0.613333,0.271158,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,3613
"352",1,1,1,0.238333,0.58625,0.169779,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2431
"357",1,1,2,0.373333,0.68625,0.274246,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2209
"366",2,1,1,0.37,0.6925,0.192167,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2294
"375",2,1,2,0.308696,0.646522,0.187552,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3598
"376",2,1,2,0.274167,0.8475,0.131221,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2177
"382",2,1,2,0.373043,0.716087,0.34913,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2935
"384",2,1,2,0.19,0.4975,0.220158,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,3292
"385",2,1,2,0.2175,0.45,0.20275,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3163
"386",2,1,1,0.173333,0.83125,0.222642,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1301
"396",2,1,2,0.39,0.416667,0.261817,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,4509
"398",2,1,2,0.399167,0.672917,0.187187,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,3761
"401",2,1,1,0.265833,0.687917,0.175996,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2947
"403",2,1,2,0.354167,0.49625,0.147379,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,4375
"409",2,1,2,0.2225,0.41125,0.167283,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,3422
"410",2,1,2,0.319167,0.50875,0.141179,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,3922
"411",2,1,2,0.348333,0.53125,0.1816,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,4169
"413",2,1,2,0.343333,0.634583,0.205846,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,4154
"414",2,1,1,0.346667,0.534583,0.190929,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,4318
"419",2,1,2,0.454167,0.554583,0.190913,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,5062
"422",2,1,1,0.279167,0.41,0.205229,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3389
"432",2,1,2,0.404167,0.513333,0.345779,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,4916
"437",2,1,2,0.466667,0.489167,0.207713,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,5298
"439",2,1,2,0.5725,0.507083,0.115062,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,6312
"440",2,1,2,0.5575,0.579583,0.149883,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,6192
"447",2,1,2,0.554167,0.83125,0.117562,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,6871
"452",2,1,2,0.323333,0.29,0.187192,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,5102
"456",2,1,1,0.424167,0.738333,0.250617,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,6235
"457",2,1,1,0.425833,0.67625,0.172267,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,6041
"458",2,1,2,0.433913,0.504348,0.312139,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,5936
"463",2,1,1,0.4375,0.254167,0.274871,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,6857
"477",2,1,1,0.57,0.682917,0.283587,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,6624
"497",2,1,2,0.533333,0.360417,0.236937,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,7030
"500",2,1,2,0.573333,0.789583,0.212692,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2843
"502",2,1,2,0.636667,0.697917,0.122512,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7424
"505",2,1,1,0.6,0.45625,0.083975,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,8294
"510",2,1,2,0.655,0.716667,0.172896,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,6770
"512",2,1,1,0.6925,0.7325,0.198992,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,6536
"514",2,2,1,0.7125,0.67625,0.196521,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,6043
"523",2,1,2,0.554167,0.61125,0.077125,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7055
"525",2,1,2,0.649167,0.467917,0.175383,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,7736
"528",2,1,2,0.720833,0.587917,0.207713,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,6664
"536",2,1,2,0.688333,0.69,0.148017,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,6825
"540",2,1,1,0.731667,0.534583,0.179721,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,7458
"543",2,1,2,0.630833,0.373333,0.347642,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,7442
"554",2,1,1,0.861667,0.492083,0.163554,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,4840
"561",2,1,1,0.703333,0.699167,0.143679,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,6969
"563",2,1,2,0.763333,0.645,0.164187,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,6830
"569",2,1,1,0.6675,0.7625,0.0939208,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,7410
"571",2,1,2,0.750833,0.655,0.211454,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,7592
"573",2,1,2,0.776667,0.596667,0.284813,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,6861
"574",2,1,2,0.781667,0.594583,0.152992,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,6904
"581",2,1,2,0.765833,0.6425,0.215792,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,7175
"588",2,1,2,0.715833,0.715833,0.238813,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,5786
"592",2,1,2,0.726667,0.686667,0.169158,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,6784
"602",2,1,2,0.7025,0.615,0.0721458,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,7582
"605",2,1,2,0.703333,0.730417,0.128733,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,6917
"606",2,1,2,0.728333,0.62,0.190925,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,7040
"614",2,1,2,0.736667,0.74125,0.187808,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,7112
"619",2,1,2,0.583333,0.50375,0.258713,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,7525
"621",2,1,2,0.599167,0.577083,0.131846,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,7870
"623",2,1,2,0.633333,0.6725,0.103863,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,8009
"630",2,1,2,0.599167,0.66875,0.154229,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,8167
"633",2,1,2,0.514167,0.492917,0.142404,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,7436
"635",2,1,2,0.635,0.630833,0.2444,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,7733
"638",2,1,1,0.5425,0.542917,0.227604,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,8555
"650",2,1,2,0.435,0.463333,0.181596,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,7570
"658",2,1,2,0.563333,0.815,0.134954,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,5424
"659",2,1,1,0.484167,0.572917,0.117537,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,8090
"664",2,1,2,0.55,0.800417,0.124375,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,7359
"670",2,1,2,0.3575,0.666667,0.166667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,5566
"686",2,1,2,0.345,0.524583,0.171025,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,5698
"699",2,1,2,0.28087,0.555652,0.115522,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,5323
"702",2,1,1,0.3475,0.823333,0.124379,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,4649
"715",2,1,1,0.324167,0.650417,0.10635,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,5047
"717",2,1,2,0.393333,0.907083,0.0982583,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,4585
"724",2,1,2,0.231304,0.791304,0.0772304,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,920
"728",2,1,2,0.253333,0.59,0.155471,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3095
